node,File=GY_GeoRectangle102.cli,MovX=50,MovY=90,PenIndex=1
node,File=GY_GeoRectangle105.cli,MovX=50,MovY=70,PenIndex=2
node,File=GY_GeoRectangle108.cli,MovX=50,MovY=50,PenIndex=3
node,File=GY_GeoRectangle111.cli,MovX=50,MovY=30,PenIndex=4
node,File=GY_GeoRectangle114.cli,MovX=50,MovY=10,PenIndex=5

node,File=GY_GeoRectangle102.cli,MovX=50,MovY=-10,PenIndex=1
node,File=GY_GeoRectangle105.cli,MovX=50,MovY=-30,PenIndex=2
node,File=GY_GeoRectangle108.cli,MovX=50,MovY=-50,PenIndex=3
node,File=GY_GeoRectangle111.cli,MovX=50,MovY=-70,PenIndex=4
node,File=GY_GeoRectangle114.cli,MovX=50,MovY=-90,PenIndex=5

node,File=GY_GeoRectangle105.cli,MovX=25,MovY=90,PenIndex=6
node,File=GY_GeoRectangle108.cli,MovX=25,MovY=70,PenIndex=7
node,File=GY_GeoRectangle111.cli,MovX=25,MovY=50,PenIndex=8
node,File=GY_GeoRectangle114.cli,MovX=25,MovY=30,PenIndex=9
node,File=GY_GeoRectangle102.cli,MovX=25,MovY=10,PenIndex=10

node,File=GY_GeoRectangle105.cli,MovX=25,MovY=-10,PenIndex=6
node,File=GY_GeoRectangle108.cli,MovX=25,MovY=-30,PenIndex=7
node,File=GY_GeoRectangle111.cli,MovX=25,MovY=-50,PenIndex=8
node,File=GY_GeoRectangle114.cli,MovX=25,MovY=-70,PenIndex=9
node,File=GY_GeoRectangle102.cli,MovX=25,MovY=-90,PenIndex=10

node,File=GY_GeoRectangle108.cli,MovX=0,MovY=90,PenIndex=11
node,File=GY_GeoRectangle111.cli,MovX=0,MovY=70,PenIndex=12
node,File=GY_GeoRectangle114.cli,MovX=0,MovY=50,PenIndex=13
node,File=GY_GeoRectangle102.cli,MovX=0,MovY=30,PenIndex=14
node,File=GY_GeoRectangle105.cli,MovX=0,MovY=10,PenIndex=15

node,File=GY_GeoRectangle108.cli,MovX=0,MovY=-10,PenIndex=11
node,File=GY_GeoRectangle111.cli,MovX=0,MovY=-30,PenIndex=12
node,File=GY_GeoRectangle114.cli,MovX=0,MovY=-50,PenIndex=13
node,File=GY_GeoRectangle102.cli,MovX=0,MovY=-70,PenIndex=14
node,File=GY_GeoRectangle105.cli,MovX=0,MovY=-90,PenIndex=15

node,File=GY_GeoRectangle111.cli,MovX=-25,MovY=90,PenIndex=16
node,File=GY_GeoRectangle114.cli,MovX=-25,MovY=70,PenIndex=17
node,File=GY_GeoRectangle102.cli,MovX=-25,MovY=50,PenIndex=18
node,File=GY_GeoRectangle105.cli,MovX=-25,MovY=30,PenIndex=19
node,File=GY_GeoRectangle108.cli,MovX=-25,MovY=10,PenIndex=20

node,File=GY_GeoRectangle111.cli,MovX=-25,MovY=-10,PenIndex=16
node,File=GY_GeoRectangle114.cli,MovX=-25,MovY=-30,PenIndex=17
node,File=GY_GeoRectangle102.cli,MovX=-25,MovY=-50,PenIndex=18
node,File=GY_GeoRectangle105.cli,MovX=-25,MovY=-70,PenIndex=19
node,File=GY_GeoRectangle108.cli,MovX=-25,MovY=-90,PenIndex=20

node,File=GY_GeoRectangle114.cli,MovX=-50,MovY=90,PenIndex=21
node,File=GY_GeoRectangle102.cli,MovX=-50,MovY=70,PenIndex=22
node,File=GY_GeoRectangle105.cli,MovX=-50,MovY=50,PenIndex=23
node,File=GY_GeoRectangle108.cli,MovX=-50,MovY=30,PenIndex=24
node,File=GY_GeoRectangle111.cli,MovX=-50,MovY=10,PenIndex=25

node,File=GY_GeoRectangle114.cli,MovX=-50,MovY=-10,PenIndex=21
node,File=GY_GeoRectangle102.cli,MovX=-50,MovY=-30,PenIndex=22
node,File=GY_GeoRectangle105.cli,MovX=-50,MovY=-50,PenIndex=23
node,File=GY_GeoRectangle108.cli,MovX=-50,MovY=-70,PenIndex=24
node,File=GY_GeoRectangle111.cli,MovX=-50,MovY=-90,PenIndex=25
